,image_name,keys,player_health,boss_health,time,time_seg,a,r,spacebar,tab,right_mouse_button,left_mouse_button,d,w,q,s,path
0,f891724f-8e62-4f42-9ca1-eacc23251c73.jpg,"['p', 'w']",0.72,0.980815348,535421.9937,37.03743212,0,0,0,0,0,0,0,1,0,0,C:\Users\gfanqi\PycharmProjects\AI_play_games\data\supervised_learning\54549\image\f891724f-8e62-4f42-9ca1-eacc23251c73.jpg
1,3421b0cb-6a8a-4f59-89d3-ce68232e7470.jpg,"['p', 'w']",0.72,0.978417266,535691.9909,269.9971199,0,0,0,0,0,0,0,1,0,0,C:\Users\gfanqi\PycharmProjects\AI_play_games\data\supervised_learning\54549\image\3421b0cb-6a8a-4f59-89d3-ce68232e7470.jpg
2,de74b30c-8cee-4f08-b49d-737d2b5886e2.jpg,"['p', 'w']",0.72,0.980815348,535891.9907,199.9998093,0,0,0,0,0,0,0,1,0,0,C:\Users\gfanqi\PycharmProjects\AI_play_games\data\supervised_learning\54549\image\de74b30c-8cee-4f08-b49d-737d2b5886e2.jpg
3,5cb50b3c-c6c5-4ca5-a985-5e40dde09a4d.jpg,['w'],0.726666667,0.980815348,536241.9987,350.0080109,0,0,0,0,0,0,0,1,0,0,C:\Users\gfanqi\PycharmProjects\AI_play_games\data\supervised_learning\54549\image\5cb50b3c-c6c5-4ca5-a985-5e40dde09a4d.jpg
4,3bbc7f38-3ac8-42be-ba42-d3e82247f508.jpg,['w'],0.72,0.980815348,536461.9923,219.9935913,0,0,0,0,0,0,0,1,0,0,C:\Users\gfanqi\PycharmProjects\AI_play_games\data\supervised_learning\54549\image\3bbc7f38-3ac8-42be-ba42-d3e82247f508.jpg
5,3cd82b71-d3ec-402a-a845-8d6cf7481e8e.jpg,['w'],0.72,0.980815348,536691.9994,230.0071716,0,0,0,0,0,0,0,1,0,0,C:\Users\gfanqi\PycharmProjects\AI_play_games\data\supervised_learning\54549\image\3cd82b71-d3ec-402a-a845-8d6cf7481e8e.jpg
6,64daf9bd-33af-4e0f-b905-8cd3f0de2a32.jpg,['w'],0.753333333,0.980815348,536932.0035,240.0040627,0,0,0,0,0,0,0,1,0,0,C:\Users\gfanqi\PycharmProjects\AI_play_games\data\supervised_learning\54549\image\64daf9bd-33af-4e0f-b905-8cd3f0de2a32.jpg
7,296025bb-9e98-4874-9cdd-d416c8d466ef.jpg,['w'],0.733333333,0.980815348,537141.9764,209.9728584,0,0,0,0,0,0,0,1,0,0,C:\Users\gfanqi\PycharmProjects\AI_play_games\data\supervised_learning\54549\image\296025bb-9e98-4874-9cdd-d416c8d466ef.jpg
8,2e2d66d0-b84b-4f02-b7d4-1ab1b013d0e4.jpg,['w'],0.746666667,0.980815348,537357.1181,215.1417732,0,0,0,0,0,0,0,1,0,0,C:\Users\gfanqi\PycharmProjects\AI_play_games\data\supervised_learning\54549\image\2e2d66d0-b84b-4f02-b7d4-1ab1b013d0e4.jpg
9,757c912f-e144-46c3-986f-3512fe8f7ec8.jpg,['w'],0.733333333,0.980815348,537597.1222,240.0040627,0,0,0,0,0,0,0,1,0,0,C:\Users\gfanqi\PycharmProjects\AI_play_games\data\supervised_learning\54549\image\757c912f-e144-46c3-986f-3512fe8f7ec8.jpg
10,dff9eaa6-8a19-42d6-a749-698f8a37cc62.jpg,['w'],0.76,0.980815348,537857.1177,259.9954605,0,0,0,0,0,0,0,1,0,0,C:\Users\gfanqi\PycharmProjects\AI_play_games\data\supervised_learning\54549\image\dff9eaa6-8a19-42d6-a749-698f8a37cc62.jpg
11,dd60afad-aa48-4743-b03c-745443546bd4.jpg,['w'],0.806666667,0.978417266,538077.1255,220.0078964,0,0,0,0,0,0,0,1,0,0,C:\Users\gfanqi\PycharmProjects\AI_play_games\data\supervised_learning\54549\image\dd60afad-aa48-4743-b03c-745443546bd4.jpg
12,50e2afcc-3c29-439f-83b5-22d39a6ed540.jpg,['w'],0.82,0.980815348,538287.127,210.0014687,0,0,0,0,0,0,0,1,0,0,C:\Users\gfanqi\PycharmProjects\AI_play_games\data\supervised_learning\54549\image\50e2afcc-3c29-439f-83b5-22d39a6ed540.jpg
13,e6873b95-e095-4c84-a3a9-ac208bca7428.jpg,['w'],0.826666667,0.980815348,538527.1239,239.9969101,0,0,0,0,0,0,0,1,0,0,C:\Users\gfanqi\PycharmProjects\AI_play_games\data\supervised_learning\54549\image\e6873b95-e095-4c84-a3a9-ac208bca7428.jpg
14,2b006788-1dde-43a4-a15c-d0cbb375a26b.jpg,['w'],0.88,0.980815348,538727.138,200.0141144,0,0,0,0,0,0,0,1,0,0,C:\Users\gfanqi\PycharmProjects\AI_play_games\data\supervised_learning\54549\image\2b006788-1dde-43a4-a15c-d0cbb375a26b.jpg
15,fad3a290-541b-4a15-a763-6e664f507b27.jpg,['w'],0.82,0.980815348,538957.1309,229.9928665,0,0,0,0,0,0,0,1,0,0,C:\Users\gfanqi\PycharmProjects\AI_play_games\data\supervised_learning\54549\image\fad3a290-541b-4a15-a763-6e664f507b27.jpg
16,93be339a-9196-4acb-82d1-286f53b42d58.jpg,['w'],0.813333333,0.980815348,539187.1214,229.9904823,0,0,0,0,0,0,0,1,0,0,C:\Users\gfanqi\PycharmProjects\AI_play_games\data\supervised_learning\54549\image\93be339a-9196-4acb-82d1-286f53b42d58.jpg
17,7082ac41-e2ce-4447-ab42-0975149ed809.jpg,['w'],0.746666667,0.980815348,539387.1307,200.009346,0,0,0,0,0,0,0,1,0,0,C:\Users\gfanqi\PycharmProjects\AI_play_games\data\supervised_learning\54549\image\7082ac41-e2ce-4447-ab42-0975149ed809.jpg
